ssn,cc_num,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,acct_num,profile,trans_num,trans_date,trans_time,unix_time,category,amt,is_fraud,merchant,merch_lat,merch_long,customer_num_trans_1_day,customer_num_trans_7_day,customer_num_trans_30_day,trans_time_secs,trans_time_hrs,trans_time_is_night,trans_time_day,trans_date_is_weekend,customer_avg_amout_1_day,customer_avg_amount_7_day,customer_avg_amount_30_day,merchant_num_trans_1_day,merchant_num_trans_7_day,merchant_num_trans_30_day,merchant_risk_1_day,merchant_risk_7_day,merchant_risk_30_day,merchant_risk_90_day
556-77-6500,343278452303900,Jane,Smith,F,490 Williams Hill Suite 506,Mount Vernon,NY,10550,40.9079,-73.838,67100,"Pharmacist, hospital",1964-01-23,677863183844,adults_50up_female_urban.json,e6fc0d87ed11c87ca5bf76a673b8b24c,2022-10-02,07:56:24,1664693784,shopping_pos,9.59,0,"fraud_Haley, Jewess and Bechtelar",40.934769,-73.295873,4,8,16,6132,21,1,6,1,44.32,83.28,63.81,4155.38,34408.6,143764.37,3,4,15,33
334-01-7282,4532052851550137,Gary,King,M,78875 Jennifer Crossing,Broken Arrow,OK,74011,35.9908,-95.8143,117553,"Engineer, manufacturing",1987-01-21,953411382943,adults_2550_male_urban.json,bb82d2aaded0db288a79ea96e8907b1b,2022-11-18,14:37:59,1668778679,entertainment,4.91,0,fraud_Klein Group,36.334378,-95.295165,5,8,17,4086,23,1,4,0,84.0,11.55,43.52,3733.67,73300.59,285744.44,7,11,14,18
554-27-1995,6011244874111675,Kevin,Ballard,M,43265 Haynes Spur Apt. 467,Anderson,IN,46012,40.1309,-85.6536,79310,Information systems manager,1981-09-24,945017805617,adults_2550_male_urban.json,6ffd8e56a9582dfe85cb236a2a489aae,2022-08-31,12:28:45,1661945325,misc_pos,4.24,0,"fraud_Cremin, Hamill and Reichel",40.002095,-84.815307,1,2,7,84690,3,1,2,0,56.8,26.02,68.11,610.77,96450.79,956159.2,3,10,22,32
179-73-8378,6543071693287817,Isaiah,Dunn,M,960 Spence Dam,Montclair,NJ,7043,40.843,-74.2011,37737,Neurosurgeon,1972-06-14,561317355148,adults_50up_male_urban.json,edbb22f517d31bc350aec9aacccce659,2022-06-22,06:50:32,1655877032,grocery_pos,5.86,0,fraud_Bauch-Raynor,41.721612,-73.417666,1,3,10,19118,16,0,2,0,71.14,38.27,6.26,2527.42,63103.66,681662.98,7,7,15,37
436-54-3539,4218258812316,Eric,Ross,M,61725 Gina Wells,Pittsburg,CA,94565,38.0031,-121.9172,84641,"Designer, graphic",1991-01-28,987541598395,adults_2550_male_urban.json,fb90021f8ee5dab0fef6022339392717,2022-05-14,09:34:24,1652517264,gas_transport,4.51,0,"fraud_Raynor, Feest and Miller",38.864253,-122.409293,3,7,13,41415,8,0,5,1,78.23,73.06,26.18,1613.47,8910.29,487582.95,2,5,19,5
139-28-2445,6568437428214147,Nancy,Nelson,F,577 Brown Green,Tempe,AZ,85283,33.3665,-111.9312,167311,"Programmer, multimedia",1982-11-23,679112600444,adults_2550_female_urban.json,3442b0d83106beeb901a1cff7506cfc3,2023-01-16,15:56:14,1673880974,home,86.35,0,"fraud_Durgan, Gislason and Spencer",32.820301,-111.477158,6,10,17,75839,1,1,0,0,86.51,88.64,18.13,2561.05,33157.62,972732.99,2,11,17,25
499-57-3665,4491342138820901,Tyler,Fernandez,M,70534 Dennis Pike,Geneva,NY,14456,42.8637,-76.9913,20087,Computer games developer,1996-04-26,501785486564,adults_2550_male_urban.json,46c7f33e8f42754b21a1b64cf5961bb2,2023-02-10,16:03:49,1676041429,home,393.03,0,fraud_Stark-Koss,43.500367,-77.179075,2,3,11,75129,18,0,4,0,48.44,18.97,68.11,903.3,96685.11,206677.14,4,11,18,45
041-73-5723,377141308888350,Susan,Braun,F,65834 Manning Locks,Salt Lake City,UT,84120,40.695,-112.0001,594043,Press photographer,1989-06-26,665633785666,adults_2550_female_urban.json,291e7dfcf93b06ef410f4ddb39c2612e,2022-12-13,14:57:52,1670939872,food_dining,7.02,0,fraud_Powlowski-Weimann,41.652048,-111.701442,5,8,16,969,1,1,1,0,45.44,45.13,35.52,3737.63,63847.05,354994.56,2,4,22,4
243-95-3644,38594896420005,Kimberly,Nelson,F,1378 Hall Keys,Athens,OH,45701,39.3178,-82.102,34122,Learning mentor,1990-11-26,175145091588,adults_2550_female_urban.json,eb617c63e90e9f5d0d93977b700a310a,2022-08-22,21:58:57,1661201937,shopping_net,56.63,0,"fraud_Heathcote, Yost and Kertzmann",38.898041,-81.388618,4,5,14,20302,6,0,0,0,29.84,23.25,33.33,104.51,5998.42,1050396.43,6,11,23,50
753-17-8866,213101809580680,Sabrina,Hines,F,46094 Robert Rapid,River Forest,IL,60305,41.8951,-87.8159,11172,Forensic scientist,1968-01-12,274733680910,adults_50up_female_urban.json,89ff1cabf8a7bd3980d45a4ac7a21e2a,2022-11-22,22:59:40,1669154380,shopping_pos,826.71,1,"fraud_Okuneva, Schneider and Rau",41.158536,-88.101426,3,8,15,54997,0,1,1,0,58.77,31.69,6.74,3187.37,2156.32,646806.34,7,14,21,18
414-19-4757,344151669264372,Greg,Cox,M,42452 John Burg,Garfield,NJ,7026,40.8789,-74.1081,30555,"Pharmacist, community",1994-06-11,487183865107,adults_2550_male_urban.json,ed5fff3ec33d154dcf8eb3532c785932,2023-04-15,19:35:23,1681583723,personal_care,18.96,0,fraud_Erdman-Ebert,40.136788,-73.962565,5,6,16,3524,2,1,5,1,63.87,67.13,15.49,1268.19,19473.6,94280.13,0,3,3,39
174-11-9824,30476044042410,Dylan,Schwartz,M,6261 Brown Lodge Suite 300,Hesperia,CA,92345,34.4222,-117.3025,99484,Print production planner,1975-05-02,335695513900,adults_2550_male_urban.json,9bac9326aa39d381403d737545af5300,2022-12-30,14:15:47,1672406147,health_fitness,4.25,0,"fraud_Mueller, Gerhold and Mueller",34.597385,-117.856642,6,7,12,61075,12,0,4,0,5.14,22.93,21.43,2913.23,4559.41,699694.01,5,7,19,47
274-68-1514,4529540054537,Alyssa,Anderson,F,3166 Wilson Ramp,Mount Vernon,NY,10550,40.9079,-73.838,67100,Theatre director,1996-04-10,686864359180,adults_2550_female_urban.json,55877451a0b4bf98765dec6cea27b7a7,2022-12-25,16:44:17,1671983057,health_fitness,109.12,0,"fraud_Swaniawski, Nitzsche and Welch",40.588186,-73.693578,2,4,12,75427,13,0,6,1,50.8,18.48,42.75,2101.07,74650.06,727152.74,7,12,18,30
158-42-9656,3543244392207819,Robert,Rivera,M,989 Simon Center,Audubon,NJ,8106,39.891,-75.0724,9874,"Sound technician, broadcasting/film/video",1965-03-06,814703439443,adults_50up_male_urban.json,a23c067a06e81efe14957e8300f75b54,2022-12-17,23:44:41,1671317081,health_fitness,11.13,0,fraud_Schroeder Group,40.840115,-74.711575,1,4,13,63581,6,0,5,1,89.77,25.91,16.59,2038.8,57190.98,880781.08,6,12,23,37
859-56-0620,3549411578685076,John,Mullins,M,40847 Murphy Way,Colton,CA,92324,34.0315,-117.2874,56505,"Clinical scientist, histocompatibility and immunogenetics",1985-04-30,750855828188,adults_2550_male_urban.json,045de4e1fb22c9baa91aab962cc8fc4d,2022-05-30,10:47:54,1653904074,gas_transport,37.57,0,fraud_Kling Inc,34.709973,-117.146285,2,6,14,85656,17,0,0,0,28.61,59.47,35.16,473.98,40732.48,888353.44,6,7,15,18
595-39-6056,180026838488762,Daniel,Johnson,M,76123 Maldonado Falls,New Britain,CT,6053,41.6867,-72.7908,73240,Colour technologist,1993-12-24,695508338758,adults_2550_male_urban.json,f950d9ffa06bd2ecf08471dea764de4f,2022-09-11,14:53:15,1662904395,shopping_net,41.87,0,fraud_Fisher-Schowalter,41.757197,-73.417744,4,6,14,54342,16,0,6,1,64.33,81.46,41.96,3886.34,12382.73,400339.38,0,5,5,19
068-89-9142,4376673563953,Brian,Jenkins,M,6235 Maurice Squares,West Covina,CA,91791,34.0653,-117.8978,108175,Police officer,1982-05-15,941857360358,adults_2550_male_urban.json,8a6f533c3b753f88b4c74912b9bde54e,2023-03-24,22:54:00,1679694840,kids_pets,7.25,0,fraud_Bogisich-Weimann,34.722495,-117.365819,5,6,15,67978,6,0,4,0,31.19,73.64,36.75,4725.87,50857.77,1084421.93,2,6,15,8
185-80-5568,60464600158,Robert,Wilson,M,72898 Nguyen View Apt. 098,Fredericksburg,VA,22406,38.3796,-77.5349,156008,Environmental manager,1977-07-06,480725992178,adults_2550_male_urban.json,989b807c97820129cfab648e52552e84,2022-09-17,19:23:12,1663438992,shopping_net,114.31,0,fraud_Boyer PLC,38.049654,-78.405443,3,4,14,33614,2,1,5,1,86.96,85.37,22.27,4778.63,15242.9,461359.22,1,6,22,14
227-21-0880,4634557387421750050,Matthew,Prince,M,7249 Raymond Fields Apt. 796,Howell,MI,48843,42.6159,-83.9248,57683,Health promotion specialist,1988-08-27,398946967963,adults_2550_male_urban.json,69ba91472f0b893ddefec0656dd754da,2022-06-05,05:00:04,1654401604,gas_transport,49.26,0,fraud_Marks Inc,41.961233,-84.568415,2,5,12,66178,4,0,6,1,52.21,11.82,43.16,2358.75,16440.01,874746.84,4,11,13,50
723-80-7967,4328348315203771070,Russell,Nelson,M,1049 Simpson Wall Suite 670,Colorado Springs,CO,80905,38.8377,-104.837,525713,Environmental manager,1979-12-23,417495431869,adults_2550_male_urban.json,10908468bee41fe0d54f6c0afb4adf34,2023-01-22,15:15:47,1674396947,home,49.91,0,fraud_Streich Ltd,38.601213,-105.834356,1,5,10,25373,20,0,6,1,76.24,78.88,49.72,2411.77,22460.03,443891.84,5,14,16,45
305-50-1695,3524659351109735,Tracy,Graves,F,593 Thomas Walk Apt. 813,Lucedale,MS,39452,30.8668,-88.649,26964,"Therapist, occupational",1969-05-02,384254686585,adults_50up_female_urban.json,ac6561b8ba94c25ff6595593a567a87a,2022-07-31,00:24:33,1659223473,misc_pos,7.41,0,fraud_Williamson LLC,30.970119,-88.173204,1,2,8,60681,22,1,6,1,20.41,41.3,37.93,4025.09,99955.36,250057.96,4,6,19,34
074-16-0786,3599392246340006,Megan,Johnson,F,63252 Christina Shore Apt. 373,Fresno,CA,93702,36.74,-119.7532,570271,Historic buildings inspector/conservation officer,1966-05-03,725156832445,adults_50up_female_urban.json,67da350262ccbc8823fd3806535680ea,2023-04-21,19:11:21,1682100681,personal_care,10.77,0,"fraud_Berge, Kautzer and Harris",36.04666,-120.722555,5,8,15,52109,12,0,4,0,2.02,5.89,5.67,494.51,89373.41,182952.0,4,5,11,24
480-39-2019,676139706680,Jessica,Reynolds,F,994 Orozco Lodge Apt. 380,Dolton,IL,60419,41.6257,-87.598,22788,Commercial/residential surveyor,1976-10-20,336463759965,adults_2550_female_urban.json,3ed934f188aca3e0cf25d005e9104677,2022-07-16,09:31:56,1657960316,misc_net,203.37,0,fraud_Donnelly PLC,41.555655,-87.670447,3,4,14,28559,0,1,5,1,17.41,82.41,34.78,407.65,54963.98,136552.54,4,7,8,10
070-11-2190,3510912827756530,Lawrence,Robles,M,6732 Webster Via,North Olmsted,OH,44070,41.4201,-81.9131,32902,Information systems manager,1963-10-03,477437062463,adults_50up_male_urban.json,50fc73f0437047642f570d38a02643c3,2023-03-12,18:34:44,1678642484,kids_pets,22.25,0,fraud_Swift PLC,42.268968,-82.690535,6,7,17,19048,17,0,6,1,64.2,82.35,18.32,3938.05,27326.33,734455.44,5,12,12,40
168-49-4148,4993176970856752,Laura,Johnson,F,639 Washington Shore Suite 477,Royal Oak,MI,48073,42.519,-83.157,57256,Quarry manager,1964-05-30,910175304832,adults_50up_female_urban.json,618c84742ba8e8b6af0821046848a8b5,2022-08-14,06:43:45,1660455825,misc_pos,18.41,0,fraud_Boyer PLC,42.604582,-84.137559,6,8,16,52512,8,0,6,1,31.87,49.75,3.05,4890.51,71353.69,263890.13,7,8,13,22
300-48-8515,4851662635754848,Erin,Evans,F,1683 David Greens Apt. 147,Milwaukee,WI,53222,43.0828,-88.0269,817312,"Editor, magazine features",1976-01-31,260516111874,adults_2550_female_urban.json,de809aa2864661fd557e6c2267573361,2022-07-10,00:03:29,1657407809,grocery_pos,47.35,0,fraud_Lockman Ltd,43.267948,-87.098586,3,5,10,7722,3,1,6,1,13.01,11.85,19.69,4082.22,37104.25,684913.11,2,2,14,9
670-83-3397,6011208699880459,Gina,Murray,F,4061 Lee Locks,Aiea,HI,96701,21.3908,-157.9332,40281,"Engineer, water",1990-03-11,670348324762,adults_2550_female_urban.json,6351c01281c4257ccef1c67edb6561cf,2023-05-02,19:27:22,1683052042,travel,126.17,0,fraud_Block-Hauck,21.055017,-158.804698,0,3,9,54147,15,0,1,0,52.3,86.65,30.72,1031.03,12961.53,313979.19,0,9,21,24
346-49-9619,3521479175074871,Holly,Ayers,F,37108 Gomez Union Apt. 331,Coffeyville,KS,67337,37.0441,-95.6328,13493,Public relations account executive,1943-02-21,18413097168,adults_50up_female_urban.json,0d7461ea66922ea446669c7a66d51745,2022-09-05,23:59:11,1662418751,shopping_pos,1192.71,1,fraud_Stoltenberg-Beatty,37.917381,-95.179858,4,4,9,58587,3,1,0,0,14.67,52.61,40.87,4129.83,93060.0,360679.06,4,7,12,48
695-78-6853,3527578446834148,Jason,Edwards,M,113 Frederick Centers,San Antonio,TX,78232,29.5863,-98.4769,1595797,Chartered accountant,1964-06-22,316725531904,adults_50up_male_urban.json,4bcccb696e5c9c692b4509ba9cbb504d,2022-07-17,11:27:14,1658053634,grocery_pos,9.93,0,fraud_Stracke-Lemke,30.310969,-97.965313,1,5,11,52922,2,1,6,1,57.69,29.66,64.77,1932.02,62374.54,261151.79,5,11,17,33
864-09-5399,4189230731397,Joel,Bradley,M,87713 Kevin Walk Apt. 876,Southampton,NY,11968,40.9043,-72.4103,11593,Retail merchandiser,1987-09-06,25325463774,adults_2550_male_urban.json,b1ad1e504a917c656111acbeb703d6db,2023-02-25,15:00:27,1677333627,home,1.19,0,"fraud_Gutmann, McLaughlin and Wiza",40.490399,-73.293197,2,2,11,62556,21,1,5,1,12.28,31.36,55.93,2544.89,98419.04,894321.58,0,9,15,46
199-28-1074,30180351645464,Scott,Mullen,M,99160 Megan Rue,Willmar,MN,56201,45.1393,-95.0523,23173,"Engineer, maintenance",1990-09-29,759728518006,adults_2550_male_urban.json,af156b22bdfccb85ac74da457fafb86b,2022-08-03,02:00:15,1659488415,misc_net,42.23,0,fraud_Volkman Ltd,44.223685,-95.263115,4,9,19,64688,0,1,2,0,25.19,29.98,55.04,3756.53,13299.51,634589.5,3,6,21,16
649-49-1015,3598972740514312,Thomas,Hughes,M,99136 Barnes Stravenue,Humble,TX,77346,30.0042,-95.1728,194500,Artist,1992-01-06,708555620908,adults_2550_male_urban.json,a3fc41b98e009be0ce8dbe741f5a814e,2022-10-27,14:49:46,1666878586,shopping_pos,9.23,0,fraud_Pagac LLC,30.712428,-95.907515,6,8,14,4752,6,0,3,0,33.63,29.07,57.41,980.1,74168.86,286893.98,2,13,22,44
424-93-5062,4218081166809640,Samantha,Boyd,F,393 Edward Hollow,Albuquerque,NM,87111,35.1347,-106.5222,641349,"Teacher, music",1929-12-25,497270278443,adults_50up_female_urban.json,7208ac01b6a939c8a9dcb42d47f327b2,2022-06-23,07:21:23,1655965283,grocery_pos,4.52,0,fraud_Miller-Hauck,35.002886,-106.865717,0,3,9,14970,22,1,3,0,67.4,82.68,42.71,2535.45,67383.17,234128.44,0,4,23,7
028-39-0285,180023015267614,Jill,Villanueva,F,658 Stephen Passage Suite 833,Fayetteville,NC,28312,34.9549,-78.7408,238602,Special educational needs teacher,1979-10-06,588540696992,adults_2550_female_urban.json,a7226a98cace7e36fb83c831cd7feeed,2022-08-24,19:14:33,1661364873,shopping_net,66.85,0,fraud_Price Inc,35.189099,-78.78751,3,5,13,84456,7,0,2,0,1.73,26.7,38.5,2685.73,35182.62,267986.56,2,5,8,17
642-43-2701,370286446629914,Anthony,Wise,M,13502 Laura Squares Suite 767,Lake Station,IN,46405,41.5686,-87.2622,11746,Armed forces training and education officer,1996-11-09,49290283570,adults_2550_male_urban.json,e7baffd36c9232dad4183d297cfa3bdd,2022-11-12,14:05:09,1668258309,shopping_pos,7.17,0,"fraud_Okuneva, Schneider and Rau",40.646745,-87.55942,4,6,15,81417,11,0,5,1,13.74,81.81,32.04,4547.68,95891.27,307204.19,3,9,18,33
774-58-3666,6011969977314269,Tracy,Medina,F,479 Daniels Mills Suite 695,Lakewood,WA,98498,47.1591,-122.5485,62135,Petroleum engineer,2000-05-09,5233105304,young_adults_female_urban.json,ef25d0204616312ffae118f2f98cab58,2022-05-24,00:58:00,1653350280,gas_transport,58.1,0,"fraud_Kutch, Hermiston and Farrell",46.360538,-122.614956,4,6,13,13680,20,0,1,0,55.21,65.88,19.32,1939.18,27919.12,328294.61,0,2,13,4
681-46-8846,4312978552961,Wendy,Warren,F,886 Nancy Crescent,Windham,ME,4062,43.7958,-70.4143,17020,"Engineer, energy",1965-12-26,393371839122,adults_50up_female_urban.json,47b826a7216cf15ae9b9e9123b774184,2022-07-26,11:06:29,1658829989,misc_net,1.77,0,"fraud_Herman, Treutel and Dickens",43.125495,-69.753448,2,4,12,17422,23,1,1,0,65.0,36.66,37.16,1635.44,77571.74,761707.79,2,14,21,20
248-17-8012,30376554761724,Jill,Alvarez,F,5481 Mcdonald Court,Hamilton,OH,45013,39.4361,-84.6185,134328,Education administrator,1971-06-17,429106477699,adults_50up_female_urban.json,78e031cf271eda7823712438037ff8bf,2022-06-04,05:34:34,1654317274,gas_transport,4.69,0,"fraud_Robel, Cummerata and Prosacco",40.242175,-85.469117,2,2,12,77409,2,1,5,1,10.82,51.82,13.24,3488.57,38832.63,867941.67,2,6,16,18
494-21-9643,6512790710617493,Sabrina,Santos,F,478 Walker Court,Amherst,MA,1002,42.3671,-72.4646,39421,Health service manager,1929-06-24,626646965772,adults_50up_female_urban.json,1fcd32223dfd012f83077f9293b7e5a0,2022-12-20,13:41:02,1671540062,health_fitness,114.24,0,fraud_Kertzmann LLC,41.807241,-72.09929,5,7,15,34457,22,1,1,0,8.74,83.97,68.53,4060.97,19083.23,756042.79,7,9,22,29
675-36-2339,4737903540922298,James,Ramos,M,7338 Joe Haven Apt. 987,Draper,UT,84020,40.5046,-111.881,39765,Advertising art director,1944-11-20,458901627039,adults_50up_male_urban.json,276645a5a42822fe829edb0f9c630ba0,2023-04-18,18:42:26,1681839746,personal_care,6.89,0,fraud_Marvin-Lind,40.301297,-112.614443,2,4,13,15831,6,0,1,0,61.78,30.43,32.13,980.73,40504.54,71975.47,1,4,22,23
461-52-2005,4079117292335916,Danielle,Clark,F,53562 Ball Stravenue,Snohomish,WA,98296,47.8579,-122.092,60670,Insurance risk surveyor,2007-10-16,390763041578,young_adults_female_urban.json,3810c898c0b56df853dc7a8c8e6c777d,2023-02-03,13:38:08,1675427888,home,33.17,0,fraud_Ernser-Feest,48.533261,-122.699929,4,7,14,12718,9,0,4,0,50.63,13.72,62.64,946.35,3038.83,662694.98,7,13,20,22
603-18-1006,4332234706635501,Derrick,Brown,M,5325 Woods Station Suite 845,Lutz,FL,33548,28.1385,-82.4821,57430,Agricultural consultant,2004-03-12,36483490801,young_adults_male_urban.json,794392546a409e7d81594c0904535098,2022-07-03,05:26:12,1656822372,grocery_net,50.89,0,fraud_Hintz-Bruen,28.666825,-82.872885,6,10,17,50047,23,1,6,1,21.33,48.15,2.28,3883.4,13648.46,747031.69,6,13,21,17
494-60-6675,4076774268487148,William,Murray,M,8842 Joshua Courts,Benton Harbor,MI,49022,42.1086,-86.4234,31814,Insurance account manager,1998-10-29,721698409052,young_adults_male_urban.json,f83ce4ed9db5d793f262c4b8e891e67b,2022-10-30,16:12:04,1667142724,shopping_pos,7.52,0,fraud_Denesik and Sons,43.086094,-85.860186,4,6,11,23810,4,0,6,1,65.1,68.64,23.18,925.16,56890.44,181456.23,6,9,16,14
288-27-7994,180020760497834,Jamie,Pineda,M,5536 Heather Parkways Apt. 425,Kannapolis,NC,28081,35.502,-80.6359,49010,Set designer,1947-01-19,54362430838,adults_50up_male_urban.json,5110d865e09397dbef0b9bfdc2a017a5,2022-11-26,00:59:28,1669420768,food_dining,2.04,0,"fraud_Lakin, Ferry and Beatty",35.556375,-80.981408,4,4,9,1288,4,0,5,1,2.6,80.53,68.58,3921.02,64305.39,369203.92,2,8,20,29
329-21-9803,30362394036832,Kelly,Bennett,F,30159 Carrie Land Apt. 175,Kenton,TN,38233,36.1906,-89.0229,2852,Sport and exercise psychologist,1997-12-08,134550696556,adults_2550_female_urban.json,4e840977dc1fd338d19f7a816e1e309f,2022-06-09,03:14:55,1654740895,grocery_net,47.2,0,"fraud_Towne, Walker and Borer",36.183002,-88.572043,6,7,14,57301,6,0,3,0,76.36,3.18,11.96,1747.17,61047.26,264920.42,4,15,23,34
321-09-1716,3589333639960143,Teresa,Vasquez,F,997 Barrett Club Suite 459,Brighton,MA,2135,42.3478,-71.1566,42780,Medical physicist,1972-12-29,768784634381,adults_50up_female_urban.json,24146f1d4270fd183cf0d12bc974cacd,2022-11-13,01:54:02,1668300842,entertainment,32.61,0,fraud_Reichel Inc,41.800141,-72.004131,4,6,11,71794,17,0,6,1,8.21,13.2,13.68,1957.25,3571.82,80886.89,5,13,20,26
198-59-7064,4221139273162991,Mary,Ward,F,95882 Lori Fall Apt. 510,Gadsden,AL,35903,33.9845,-85.9077,67082,Film/video editor,1987-01-11,93781397775,adults_2550_female_urban.json,a911ba8a1cca1c44c808ff886a1a55b6,2023-03-26,21:31:52,1679862712,kids_pets,33.03,0,fraud_Gottlieb Group,34.088007,-85.901525,6,6,13,47613,5,0,6,1,17.72,56.53,24.35,3953.28,53332.67,1088745.82,0,0,20,1
174-11-9824,30476044042410,Dylan,Schwartz,M,6261 Brown Lodge Suite 300,Hesperia,CA,92345,34.4222,-117.3025,99484,Print production planner,1975-05-02,335695513900,adults_2550_male_urban.json,3f6f07aec823378fda5844e671b6dc02,2022-06-27,11:47:22,1656326842,grocery_net,101.38,0,"fraud_Kohler, Lindgren and Koelpin",34.290966,-118.141532,6,6,11,58244,7,0,0,0,27.99,84.85,9.28,4701.01,47116.42,117343.07,2,15,17,27
